config-name,ah,aw,ifs,fs,ofs,dfw,total_cycles,avg_map_eff
system_f177302c-d852-4fb9-9d82-9437fa892c02,6,4,5,5,5,ws,46267,91.49206349206348
system_022933ea-ad0a-4351-84ef-8c9c1749f788,10,4,5,5,5,ws,30965,89.86666666666667
system_f9b9f374-2e3e-4574-af68-1f7b381a5d43,10,6,5,5,5,is,53571,46.508437067773166
system_6afbb224-6a3e-4a08-b71f-ce53eb940ec3,4,3,5,5,5,is,138751,59.259039715471246
system_0936be00-ee9b-4828-8c83-ea9c50204089,3,6,5,5,5,os,68007,49.65795077828307
system_d0c348d9-0038-44e3-b5eb-16645b892e74,9,4,5,5,5,is,72206,54.144620811287474
system_7be698be-e936-41e7-8326-4f294971c5bb,9,9,5,5,5,os,22281,32.151079075394634
system_aeec1969-82fb-4421-b0f8-c82c4fd8aaad,6,8,5,5,5,ws,28713,77.32539682539684
system_1b78dca2-5a4d-49e4-81fe-b5dfcff961f4,5,6,5,5,5,is,74941,47.55145841424279
system_2d4ae5bb-a542-4460-b9bc-9a5ecef46698,4,8,5,5,5,ws,39175,81.78571428571429
system_fb595aa8-8d7b-4336-9b78-e016148c017f,9,4,5,5,5,ws,31299,93.40388007054673
system_006e0e53-f759-4e53-94e4-3c6d85ff8b09,6,10,5,5,5,ws,27847,79.22539682539683
system_8094ef19-a957-44eb-bf31-cbbb42c9dc95,5,7,5,5,5,os,44468,37.09714691306419
system_c69e43c2-9794-4d2a-b366-0f2c42ed8acf,6,5,5,5,5,ws,44863,87.22539682539681
system_919be74f-6437-4274-b28b-43376f59de52,5,6,5,5,5,os,43764,42.200639652542506
system_93ad24aa-eeef-4f0a-b57a-023b82032578,8,3,5,5,5,os,58066,37.951868737533445
system_1da9c6a1-fc1b-461e-8604-da04b094f526,4,9,5,5,5,ws,39217,75.94356261022925
system_2ecf6e27-37f4-4d41-8c64-3809fdbe0d25,3,4,5,5,5,ws,78553,95.81369248035915
system_895be86e-4de6-4d4a-9222-1de20b0c37e6,10,8,5,5,5,is,43275,43.91612990163044
system_209be36c-81b8-4c63-a924-d3e671f02c58,8,5,5,5,5,is,69586,48.80178333776948
system_b6376e1c-163b-4dbf-bbe0-a0d7600162d5,8,8,5,5,5,os,24519,36.38530016170328
system_2eb6799e-1a45-4d66-be2d-7b68b91f2c6d,7,9,5,5,5,ws,24438,72.63290501385741
system_ecb8ebe0-3673-4f35-b431-66fca468f83c,6,7,5,5,5,os,38980,35.375749193176745
system_4d564c71-ccbb-484d-a98d-6b92249e7515,4,6,5,5,5,is,82371,49.25903971547125
system_a17c460d-f0ae-4d08-beca-3865c50b39af,6,5,5,5,5,os,46774,41.977869986168955
